2025-07-08 10:30:13.185 | INFO     | __main__:_load_pagination_state:645 - Pagination state loaded from file
2025-07-08 10:30:13.195 | INFO     | __main__:run:159 - Worker started for CS2
2025-07-08 10:30:13.200 | INFO     | __main__:process_batch:422 - Starting new batch processing cycle
2025-07-08 10:30:13.203 | INFO     | __main__:_process_game_items:465 - Processing items for game: CS2 starting from page 10
2025-07-08 10:30:13.205 | INFO     | __main__:_process_page:492 - Processing page 11 for CS2 (items 100-109)
2025-07-08 10:30:15.823 | DEBUG    | __main__:_make_api_request:392 - Response status: 200
2025-07-08 10:30:15.824 | DEBUG    | __main__:_make_api_request:393 - Response headers: {'Server': 'nginx', 'Content-Type': 'application/json; charset=utf-8', 'X-Frame-Options': 'DENY', 'Expires': 'Mon, 26 Jul 1997 05:00:00 GMT', 'Cache-Control': 'no-cache', 'Content-Encoding': 'gzip', 'Vary': 'Accept-Encoding', 'Content-Length': '2274', 'Date': 'Tue, 08 Jul 2025 14:30:15 GMT', 'Connection': 'keep-alive', 'Set-Cookie': 'steamCountry=US%7C1ec82f1fed980cddd62c848ed8f4d1eb; path=/; secure; HttpOnly; SameSite=None'}
2025-07-08 10:30:15.824 | DEBUG    | __main__:_make_api_request:394 - Response content (first 500 chars): {"success":true,"start":100,"pagesize":10,"total_count":23920,"searchdata":{"query":"","search_descriptions":false,"total_count":23920,"pagesize":10,"prefix":"searchResults","class_prefix":"market"},"results":[{"name":"M4A4 | 龍王 (Dragon King) (Minimal Wear)","hash_name":"M4A4 | 龍王 (Dragon King) (Minimal Wear)","sell_listings":152,"sell_price":2111,"sell_price_text":"$21.11","app_icon":"https:\/\/cdn.akamai.steamstatic.com\/steamcommunity\/public\/images\/apps\/730\/8dbc71957312bbd3baea65848b545b
2025-07-08 10:30:18.825 | DEBUG    | __main__:_process_item:550 - Queued item: MarketItem(M4A4 | 龍王 (Dragon King) (Minimal Wear), $21.11, 152 listings)
2025-07-08 10:30:18.826 | DEBUG    | __main__:process_item:197 - Processing price data for M4A4 | 龍王 (Dragon King) (Minimal Wear) (CS2)
2025-07-08 10:30:18.826 | DEBUG    | __main__:_process_item:550 - Queued item: MarketItem(P2000 | Red FragCam (Field-Tested), $1.09, 188 listings)
